"","va1","va2","va3"
"448","IRF1",0.283776378072657,"CHMP3"
"449","IRF2",0.340961148208749,"CHMP3"
"450","NAIP",0.485590718328195,"CHMP3"
"451","NLRC4",0.390449081809721,"CHMP3"
"452","NLRP1",0.27766995848991,"CHMP3"
"453","NLRP9",0.184704769050046,"CHMP3"
"454","TP53",0.469241349960214,"CHMP3"
"455","TP63",0.117125280546026,"CHMP3"
"456","ZBP1",0.231641090230201,"CHMP3"
"457","AIM2",0.171144508712077,"CHMP4A"
"458","APIP",-0.00075020082058498,"CHMP4A"
"459","BAK1",0.327496508546142,"CHMP4A"
"460","BAX",0.45936953701821,"CHMP4A"
"461","CASP1",0.154013838305424,"CHMP4A"
"462","CASP3",-0.0125856080962274,"CHMP4A"
"463","CASP4",0.274901642645771,"CHMP4A"
"464","CASP5",0.174353166042523,"CHMP4A"
"465","CASP8",0.0752299098323169,"CHMP4A"
"466","CHMP2A",0.459987322005342,"CHMP4A"
"467","CHMP2B",-0.0305999169785233,"CHMP4A"
"468","CHMP3",0.205195879340437,"CHMP4A"
"469","CHMP4A",1,"CHMP4A"
"470","CHMP4B",0.467571861937373,"CHMP4A"
"471","CHMP4C",0.149912080516546,"CHMP4A"
"472","CHMP6",0.272701732787643,"CHMP4A"
"473","CHMP7",0.118757269729796,"CHMP4A"
"474","CYCS",0.232962760915802,"CHMP4A"
"475","DHX9",-0.050696892960571,"CHMP4A"
"476","ELANE",-0.0316014441909286,"CHMP4A"
"477","GSDMA",0.146696546915097,"CHMP4A"
"478","GSDMB",0.245290107660345,"CHMP4A"
"479","GSDMC",-0.011698802946182,"CHMP4A"
"480","GSDMD",0.306195737443494,"CHMP4A"
"481","GZMA",0.285249946589361,"CHMP4A"
"482","GZMB",0.242914677229856,"CHMP4A"
"483","IL18",0.354282087504192,"CHMP4A"
"484","IL1A",0.193474403089706,"CHMP4A"
"485","IL1B",0.0890748325883127,"CHMP4A"
"486","IRF1",0.18040575590986,"CHMP4A"
"487","IRF2",-0.232997761321037,"CHMP4A"
"488","NAIP",0.0724491296617356,"CHMP4A"
"489","NLRC4",0.16482581983466,"CHMP4A"
"490","NLRP1",0.0995336842147487,"CHMP4A"
"491","NLRP9",0.0262638493270521,"CHMP4A"
"492","TP53",0.158263138438419,"CHMP4A"
"493","TP63",-0.0496877922187284,"CHMP4A"
"494","ZBP1",0.231834657731344,"CHMP4A"
"495","AIM2",0.310224809964528,"CHMP4B"
"496","APIP",0.300421922432996,"CHMP4B"
"497","BAK1",0.697890284168208,"CHMP4B"
"498","BAX",0.699990047114512,"CHMP4B"
"499","CASP1",0.275193392985046,"CHMP4B"
"500","CASP3",0.375210405910834,"CHMP4B"
"501","CASP4",0.503859683889543,"CHMP4B"
"502","CASP5",0.365471669805522,"CHMP4B"
"503","CASP8",0.367566560109261,"CHMP4B"
"504","CHMP2A",0.483750051460165,"CHMP4B"
"505","CHMP2B",0.327209298199132,"CHMP4B"
"506","CHMP3",0.64210858940695,"CHMP4B"
"507","CHMP4A",0.467571861937373,"CHMP4B"
"508","CHMP4B",1,"CHMP4B"
"509","CHMP4C",0.444583172630452,"CHMP4B"
"510","CHMP6",0.409125207611641,"CHMP4B"
"511","CHMP7",0.368450394190527,"CHMP4B"
"512","CYCS",0.472423879104166,"CHMP4B"
"513","DHX9",0.397370649824047,"CHMP4B"
"514","ELANE",0.0633562121072515,"CHMP4B"
"515","GSDMA",0.348368283252571,"CHMP4B"
"516","GSDMB",0.185326088189685,"CHMP4B"
"517","GSDMC",0.219408848844632,"CHMP4B"
"518","GSDMD",0.371585787957047,"CHMP4B"
"519","GZMA",0.256479764133079,"CHMP4B"
"520","GZMB",0.266903827630906,"CHMP4B"
"521","IL18",0.451587958751845,"CHMP4B"
"522","IL1A",0.331899137237441,"CHMP4B"
"523","IL1B",0.216762930938864,"CHMP4B"
"524","IRF1",0.354279103358539,"CHMP4B"
"525","IRF2",0.0191875684093439,"CHMP4B"
"526","NAIP",0.278469741828765,"CHMP4B"
"527","NLRC4",0.319063051008309,"CHMP4B"
"528","NLRP1",0.207052432478674,"CHMP4B"
"529","NLRP9",0.121926950010173,"CHMP4B"
"530","TP53",0.289156694762657,"CHMP4B"
"531","TP63",0.0488526347219696,"CHMP4B"
"532","ZBP1",0.291330928440428,"CHMP4B"
"533","AIM2",0.0716172970500895,"CHMP4C"
"534","APIP",0.292764500713451,"CHMP4C"
"535","BAK1",0.550562199938308,"CHMP4C"
"536","BAX",0.427901322697623,"CHMP4C"
"537","CASP1",0.0554495552963476,"CHMP4C"
"538","CASP3",0.310570050518691,"CHMP4C"
"539","CASP4",0.365583147996671,"CHMP4C"
"540","CASP5",0.0955842811642508,"CHMP4C"
"541","CASP8",0.363903863433902,"CHMP4C"
"542","CHMP2A",0.186788371196556,"CHMP4C"
"543","CHMP2B",0.359436566873167,"CHMP4C"
"544","CHMP3",0.522154775361442,"CHMP4C"
"545","CHMP4A",0.149912080516546,"CHMP4C"
"546","CHMP4B",0.444583172630452,"CHMP4C"
"547","CHMP4C",1,"CHMP4C"
"548","CHMP6",0.222990125171324,"CHMP4C"
"549","CHMP7",0.123918168324771,"CHMP4C"
"550","CYCS",0.234713178696823,"CHMP4C"
"551","DHX9",0.416932212589559,"CHMP4C"
"552","ELANE",-0.0886580965839231,"CHMP4C"
"553","GSDMA",0.124998992696362,"CHMP4C"
"554","GSDMB",0.219156082704058,"CHMP4C"
"555","GSDMC",0.17100171155531,"CHMP4C"
"556","GSDMD",0.452430688810543,"CHMP4C"
"557","GZMA",0.0195936451643843,"CHMP4C"
"558","GZMB",0.0209561892655554,"CHMP4C"
"559","IL18",0.24375937237573,"CHMP4C"
"560","IL1A",0.257185368483894,"CHMP4C"
"561","IL1B",0.0490989139534522,"CHMP4C"
"562","IRF1",0.252714104035513,"CHMP4C"
"563","IRF2",0.0052796352408844,"CHMP4C"
"564","NAIP",0.168073704216093,"CHMP4C"
"565","NLRC4",0.0767607085569179,"CHMP4C"
"566","NLRP1",0.123734181607795,"CHMP4C"
"567","NLRP9",0.160895722605199,"CHMP4C"
"568","TP53",0.299475412477286,"CHMP4C"
"569","TP63",-0.00817895595831176,"CHMP4C"
"570","ZBP1",0.104780534678824,"CHMP4C"
"571","AIM2",-0.012182170143276,"CHMP6"
"572","APIP",0.269276273881133,"CHMP6"
"573","BAK1",0.330714975185784,"CHMP6"
"574","BAX",0.467276103998453,"CHMP6"
"575","CASP1",0.008513297890586,"CHMP6"
"576","CASP3",0.194177554817039,"CHMP6"
"577","CASP4",0.0638786486593098,"CHMP6"
"578","CASP5",0.0114234673034688,"CHMP6"
